Code;Libellé;Médiane du niveau de vie 2015
01001;L'Abergement-Clémenciat;22228
01002;L'Abergement-de-Varey;22883
01004;Ambérieu-en-Bugey;19735
01005;Ambérieux-en-Dombes;23183
01006;Ambléon;N/A
01007;Ambronay;21986
01008;Ambutrix;24389
01009;Andert-et-Condon;23071
01010;Anglefort;22527
01011;Apremont;22301
01012;Aranc;22014
01013;Arandas;19886
01014;Arbent;20273
01015;Arboys en Bugey;22071
01016;Arbigny;21124
01017;Argis;18926
01019;Armix;N/A
01021;Ars-sur-Formans;22935
01022;Artemare;19515
01023;Asnières-sur-Saône;N/A
01024;Attignat;21533
01025;Bâgé-Dommartin;21471
01026;Bâgé-le-Châtel;20977
01027;Balan;22961
01028;Baneins;22756
01029;Beaupont;19078
01030;Beauregard;19966
01031;Bellignat;18799
01032;Béligneux;20452
01033;Bellegarde-sur-Valserine;19490
01034;Belley;18620
01035;Belleydoux;22738
01036;Belmont-Luthézieu;21041
01037;Bénonces;19873
01038;Bény;21892
01039;Béon;20162
01040;Béréziat;21560
01041;Bettant;22630
01042;Bey;23302
01043;Beynost;25880
01044;Billiat;25215
01045;Birieux;23169
01046;Biziat;21449
01047;Blyes;25555
01049;La Boisse;24862
01050;Boissey;19351
01051;Bolozon;N/A
01052;Bouligneux;25813
01053;Bourg-en-Bresse;18166
01054;Bourg-Saint-Christophe;24406
01056;Boyeux-Saint-Jérôme;20849
01057;Boz;20352
01058;Brégnier-Cordon;20418
01059;Brénaz;20038
01060;Brénod;22522
01061;Brens;22873
01062;Bressolles;26497
01063;Brion;22334
01064;Briord;20575
01065;Buellas;23504
01066;La Burbanche;N/A
01067;Ceignes;21795
01068;Cerdon;20087
01069;Certines;22859
01071;Cessy;36747
01072;Ceyzériat;22745
01073;Ceyzérieu;21623
01074;Chalamont;20860
01075;Chaleins;22692
01076;Chaley;20184
01077;Challes-la-Montagne;21004
01078;Challex;40369
01079;Champagne-en-Valromey;20704
01080;Champdor-Corcelles;20582
01081;Champfromier;22852
01082;Chanay;23515
01083;Chaneins;22494
01084;Chanoz-Châtenay;20740
01085;La Chapelle-du-Châtelard;21738
01087;Charix;23723
01088;Charnoz-sur-Ain;25473
01089;Château-Gaillard;21981
01090;Châtenay;21576
01091;Châtillon-en-Michaille;25464
01092;Châtillon-la-Palud;22611
01093;Châtillon-sur-Chalaronne;20685
01094;Chavannes-sur-Reyssouze;20639
01095;Nivigne et Suran;20059
01096;Chaveyriat;21256
01097;Chavornay;21070
01098;Chazey-Bons;19973
01099;Chazey-sur-Ain;23765
01100;Cheignieu-la-Balme;20115
01101;Chevillard;22031
01102;Chevroux;21309
01103;Chevry;38792
01104;Chézery-Forens;23032
01105;Civrieux;25438
01106;Cize;19021
01107;Cleyzieu;22195
01108;Coligny;20831
01109;Collonges;29818
01110;Colomieu;19663
01111;Conand;19509
01112;Condamine;21881
01113;Condeissiat;19818
01114;Confort;25517
01115;Confrançon;20544
01116;Contrevoz;20466
01117;Conzieu;18156
01118;Corbonod;23641
01121;Corlier;20312
01122;Cormaranche-en-Bugey;22896
01123;Cormoranche-sur-Saône;22236
01124;Cormoz;20819
01125;Corveissiat;20929
01127;Courmangoux;21827
01128;Courtes;20123
01129;Crans;21818
01130;Cras-sur-Reyssouze;22053
01133;Cressin-Rochefort;21430
01134;Crottet;22228
01135;Crozet;35840
01136;Cruzilles-lès-Mépillat;22358
01138;Culoz;19375
01139;Curciat-Dongalon;18510
01140;Curtafond;22448
01141;Cuzieu;22660
01142;Dagneux;22670
01143;Divonne-les-Bains;41976
01145;Dompierre-sur-Veyle;20512
01146;Dompierre-sur-Chalaronne;21666
01147;Domsure;18759
01148;Dortan;21842
01149;Douvres;24665
01150;Drom;23196
01151;Druillat;21931
01152;Échallon;24890
01153;Échenevex;43790
01154;Étrez;20372
